Kennzeichen,Beispiel
CBA,Dachboden
CBA,"Ein Dach ist im Bauwesen eine Konstruktion, die darunter liegende Räume und Flächen nach oben hin abschließt und sie dadurch vor Sonne, Witterung und anderen. Boden steht für: Erdoberfläche, Erdboden Lockergestein, in der Geologie die oberste, erodierte Gesteinsschicht an der Erdoberfläche Boden , Erdreich, in der Bodenkunde die oberste Schicht. "
CBA,Dachlagerraum
CBA,"Ein Dach ist im Bauwesen eine Konstruktion, die darunter liegende Räume und Flächen nach oben hin abschließt und sie dadurch vor Sonne, Witterung und anderen. Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CBA,Seitenbühne
CBA,"Seite steht für: eine Richtungsangabe, siehe links und rechts Strecke in der Geometrie, siehe Polygon Seite eines Simplizes, siehe Simplizialkomplex#Abstrakter Simplizialkomplex Fläche in der Alltagssprache. Bühne ist eine Bezeichnung für: Bühne , Konstruktion, auf der Aufführungen stattfinden Bühne , Konstruktion, auf der darstellende Künstler auftreten Bühne, andere Bezeichnung für Theater. "
CBA,Lagerschranklagerhalle
CBA,"Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. Der Schrank ist ein Möbelstück, welcher der Lagerung von Gegenständen aller Art dient. . "
CBB,Materiallagerungsraum für Werkzeuge
CBB,Werkzeuglagerraum
CBB,"Werk steht für: Werk , schöpferische Leistung im Sinne des Urhebergesetzes Kunstwerk, als Kurzform: Ergebnis künstlerischer Tätigkeit Tagewerk, als Kurzform: geleistete oder zu leistende Arbeit. Zeug steht für: historische Bezeichnung für Gewebe, siehe Gewebe alte Bezeichnung für Letternmetall Zeug , in der Militärtechnikgeschichte Rüstungen etc. Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CBB,Reinigungsschrank
CBB,"Reinigung oder Reinigen steht für: Reinigung , Aufrechterhalten und Wiederherstellen von Reinheit Chemische Reinigung, Verfahren oder Unternehmen zur Wäschereinigung Reinigung von Wäsche, siehe Textilreiniger Pelzreinigung,. Der Schrank ist ein Möbelstück, welcher der Lagerung von Gegenständen aller Art dient. "
CBB,Geräteraum
CBB,"Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CBB,Autowerkstatt
CBB,. Eine Werkstatt oder Werkstätte ist eine Arbeitsstätte mit vorhandenen Werkzeugen oder Maschinen zur Fertigung oder Reparatur von Produktionsgütern. 
CBB,Gartenhütte
CBB,Hobbyschuppen
CBB,"Ein Hobby ist eine Freizeitbeschäftigung, die der Ausübende freiwillig und regelmäßig zum eigenen Vergnügen oder der Entspannung betreibt. "
CBB,Geräteschuppen
CBB,. 
CBB,Waffenlager
CBB,"Als Waffe werden unter anderem Gegenstände bezeichnet, die dazu bestimmt oder geeignet sind, Lebewesen physisch infolge Verletzung oder Tod bzw. Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. "
CBB,Werkstätte
CBB,"Werk steht für: Werk , schöpferische Leistung im Sinne des Urhebergesetzes Kunstwerk, als Kurzform: Ergebnis künstlerischer Tätigkeit Tagewerk, als Kurzform: geleistete oder zu leistende Arbeit. Statt steht für: Kurzform des Wortes anstatt Kurzform der Insel Stadlandet in der Kommune Selje, Norwegen, siehe Stad Statt Partei, deutsche Klein-Partei veraltete Form von. "
CBC,Materiallagerungsraum für technische Instrumente
CBC,Instrumentenlagerraum
CBC,"Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CBC,Flugzeuggerätelager
CBC,"Flug steht für: Fliegen als Fortbewegungsart, siehe Fliegen Flug , Bezeichnung für beide Flügel eines Vogels in der Heraldik Flugzucker, neben Läuterzucker und Fadenzucker eines. Zeug steht für: historische Bezeichnung für Gewebe, siehe Gewebe alte Bezeichnung für Letternmetall Zeug , in der Militärtechnikgeschichte Rüstungen etc. Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. "
CBC,Gerätelager
CBC,"Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. "
CBC,Medizintechnisches Lager
CBD,Ausrüstungslagerraum für Transportmittel
CBD,Fahrzeuglagerraum
CBD,"Fahr steht für: Gefahr, veraltete Bezeichnung Maschinenfabrik Fahr, deutscher Hersteller von landwirtschaftlichen Maschinen BKK Fahr, deutsche BetriebskrankenkasseOrte: Fahr , Ortsteil des Stadtteils Feldkirchen der Stadt. Zeug steht für: historische Bezeichnung für Gewebe, siehe Gewebe alte Bezeichnung für Letternmetall Zeug , in der Militärtechnikgeschichte Rüstungen etc. Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CBD,Vorfeld
CBD,Als Vorfeld werden bezeichnet: eine Rangier- und Abstellfläche eines Flugplatzes bzw. 
CBD,Fahrradlager
CBD,"Fahr steht für: Gefahr, veraltete Bezeichnung Maschinenfabrik Fahr, deutscher Hersteller von landwirtschaftlichen Maschinen BKK Fahr, deutsche BetriebskrankenkasseOrte: Fahr , Ortsteil des Stadtteils Feldkirchen der Stadt. Das Rad ist ein scheibenförmiger Gegenstand mit idealerweise kreisförmiger Kontur, der um eine Achse, die senkrecht auf der idealisierten Kreisebene steht, drehbar gelagert ist und. Lager steht für: Ort zum Lagern von Material, siehe Lagerhaltung Lager , plattenförmige Mineralvorkommen unterschiedlicher Größe Lager , zum Führen gegeneinander beweglicher Bauteile Lager ,. "
CBD,Bootshalle
CBD,Busdepot
CBD,"Bus bezeichnet: Kurzwort für Omnibus beziehungsweise Autobus Kurzwort für Reisebus umgangssprachliches Kurzwort für Oberleitungsbus beziehungsweise Trolleybus als Abkürzung von Binary Unit System gekoppelte Leiterbahnen zum. Depot steht für Wertpapierdepot, eine Verwahrmöglichkeit für Wertpapiere bei einem Finanzdienstleister gegen Entgelt Depot , eine Lagerstätte in Museen, wo gerade nicht ausgestellte Inventarstücke aufbewahrt. "
CBD,Autoparkplatz
CBD,". Ein Parkplatz, auch Parkfläche genannt, ist eine öffentlich zugängliche Fläche, auf der Straßenfahrzeuge geparkt werden können. "
CBD,Containerbasis
CBD,"Ein Container bezeichnet meist Großraum-Behälter zur Lagerung und zum Transport von Gütern. Basis steht als alltagssprachlicher Begriff für: Basis , die Gesamtheit aller einfachen Mitglieder politischer Verbände in Abgrenzung von deren Funktionsträgern Militärbasis, eine militärisch genutzte Einrichtung. "
CBD,Fahrradschuppen
CBD,Depot
CBD,"Depot steht für Wertpapierdepot, eine Verwahrmöglichkeit für Wertpapiere bei einem Finanzdienstleister gegen Entgelt Depot , eine Lagerstätte in Museen, wo gerade nicht ausgestellte Inventarstücke aufbewahrt. "
CBD,Dock
CBD,"Dock steht für: Dock , Anlage zur Aufnahme und Trockenlegung von Schiffen Dock , Bestandteil der grafischen Benutzeroberfläche Dockingstation, ein tragbares Gerät, das mit einem. "
CBD,Trockendock
CBD,". . Dock steht für: Dock , Anlage zur Aufnahme und Trockenlegung von Schiffen Dock , Bestandteil der grafischen Benutzeroberfläche Dockingstation, ein tragbares Gerät, das mit einem. "
CBD,E Fahrzeug Ladestation
CBD,Garage
CBD,"Eine Garage ist eine meist abschließbare, überdachte und durch feste Wände umschlossene Abstellmöglichkeit für Fahrzeuge, meist Autos, aber auch Seilbahn-Fahrbetriebsmittel. "
CBD,Hangar
CBD,"Ein Hangar ist eine große Halle für Flugzeuge aller Art sowie Hubschrauber, Luftschiffe und Space Shuttles. "
CBD,LKW Parkplatz
CBD,Stellfläche
CBD,"Stell ist der Familienname folgender Personen: Aaron Stell , US-amerikanischer Filmeditor Christopher Stell , britischer Architekturhistoriker Christopher Stell , britischer Gitarrist und Musikpädagoge George Stell. Flach steht für: Flach , Familienname, zu Namensträgern siehe dort Flachheit , Flachheit von Moduln Flach , in der Riemannschen Geometrie Flach , chilenisches U-Boot,. "
CBD,Parkplatz
CBD,"Ein Parkplatz, auch Parkfläche genannt, ist eine öffentlich zugängliche Fläche, auf der Straßenfahrzeuge geparkt werden können. "
CBD,Zugdepot
CBD,"Zug steht für: Wesensmerkmal einer Person, siehe Charaktertypen Gebirgszug, alpine Landschaftsformation Höhenzug, lang gestreckte Landschaftsformation Rechtsmittelzug im Gerichtswesen, siehe Instanz Muskelverspannung die Wahrnehmung des Näherrechts. Depot steht für Wertpapierdepot, eine Verwahrmöglichkeit für Wertpapiere bei einem Finanzdienstleister gegen Entgelt Depot , eine Lagerstätte in Museen, wo gerade nicht ausgestellte Inventarstücke aufbewahrt. "
CBD,Truck Dock
CC,Lagerraum zum Einschließen von Tieren
CC,Tiergehege
CC,"Tiere sind vielzellige Lebensformen, die eine Form des heterotrophen Stoff- und Energiewechsels betreiben, somit in der Ernährung auf Körpersubstanz oder Stoffwechselprodukte anderer Organismen angewiesen sind,. Ein Gehege ist ein mittels Hecken oder Zaun abgetrenntes Areal, welches der Unterbringung von Tieren dient. "
CCA,Tiergehege zum Einsperren von Tieren
CCA,Käfig
CCA,"Ein Käfig ist ein allseitig geschlossenes Behältnis, dessen Seiten mehr oder weniger perforiert sind. "
CCA,Vogelhaus
CCA,"Vogel steht für: Tier aus der Klasse der Vögel eine redensartliche Bezeichnung für „nicht ganz bei Verstand sein“, siehe Einen Vogel haben eine beleidigende Geste,. Als Haus bezeichnet man ein Gebäude in der Regel, wenn dessen vorrangiger Zweck ist, Menschen regelmäßig als Unterkunft zu dienen, insbesondere zum Wohnen, Arbeiten oder. "
CCA,Vogelkäfig
CCA,"Vogel steht für: Tier aus der Klasse der Vögel eine redensartliche Bezeichnung für „nicht ganz bei Verstand sein“, siehe Einen Vogel haben eine beleidigende Geste,. Ein Käfig ist ein allseitig geschlossenes Behältnis, dessen Seiten mehr oder weniger perforiert sind. "
CCA,Umzäunung
CCA,. 
CCA,Reservat
CCA,"Reservat steht für: Indianerreservat, Indianern bestimmter Ethnien vorbehaltenes Gebiet Indian reserve, in Kanada gebräuchliche Bezeichnung der Indianerreservate Vorläufer der südafrikanischen Homelands, siehe Homeland Naturwaldreservat, forstwirtschaftliche. "
CCA,Terrarium
CCA,"Terrarien sind Behälter und Anlagen, die Terrarianer zur Haltung verschiedener Tiere und Pflanzen betreiben. "
CCB,"Tiergehege, um Tiere eingezäunt zu halten"
CCB,Stall
CCB,Mit Stall bezeichnet man ein zur Unterbringung von Haustieren dienendes Gebäude. 
CCB,Vogelhaus
CCB,"Vogel steht für: Tier aus der Klasse der Vögel eine redensartliche Bezeichnung für „nicht ganz bei Verstand sein“, siehe Einen Vogel haben eine beleidigende Geste,. Als Haus bezeichnet man ein Gebäude in der Regel, wenn dessen vorrangiger Zweck ist, Menschen regelmäßig als Unterkunft zu dienen, insbesondere zum Wohnen, Arbeiten oder. "
CCB,Box
CCB,"Box steht für: Box , rumänisch-deutsch-französischer Film von Florin Șerban Box , eine Zeitschrift für Schwule Mailbox Lautsprecherbox Boxkamera Boxset Lootbox, eine virtuelle Kiste in. "
CCB,Käfig
CCB,"Ein Käfig ist ein allseitig geschlossenes Behältnis, dessen Seiten mehr oder weniger perforiert sind. "
CCB,Umzäunung
CCB,. 
CCB,Pferch
CCB,"Ein Pferch c, perc, mundartlich je nach Region Pförch oder auch Pfrenga ) oder Korral ist eine Einfriedung einer meist kleineren Fläche zur vorübergehenden Sammlung. "
CCB,Reservat
CCB,"Reservat steht für: Indianerreservat, Indianern bestimmter Ethnien vorbehaltenes Gebiet Indian reserve, in Kanada gebräuchliche Bezeichnung der Indianerreservate Vorläufer der südafrikanischen Homelands, siehe Homeland Naturwaldreservat, forstwirtschaftliche. "
CCB,Vivarium
CCB,"Vivarium steht für: Vivarium , Anlage zur Haltung von Tieren Vivarium Darmstadt ist ein kleiner Zoo bzw. "
CCC,Tiergehege zum Schutz von Tieren
CCC,Stall
CCC,Mit Stall bezeichnet man ein zur Unterbringung von Haustieren dienendes Gebäude. 
CCC,Kuhstall
CCC,"Kuh steht für: weibliches Hausrind nach der ersten Kalbung, siehe Hausrind #Kuh weibliches geschlechtsreifes Individuum bei einigen Säugetieren, siehe Liste der Bezeichnungen für Haus- und. Mit Stall bezeichnet man ein zur Unterbringung von Haustieren dienendes Gebäude. "
CCC,Hobbyschuppen
CCC,"Ein Hobby ist eine Freizeitbeschäftigung, die der Ausübende freiwillig und regelmäßig zum eigenen Vergnügen oder der Entspannung betreibt. "
CCC,Schweinestall
CCC,. Mit Stall bezeichnet man ein zur Unterbringung von Haustieren dienendes Gebäude. 
CCC,Produktionsstall
CCC,Mit Stall bezeichnet man ein zur Unterbringung von Haustieren dienendes Gebäude. 
CCC,Schafstall
CCC,"Schaf bezeichnet: das Hausschaf Schaf, Exemplar der Säugetiergattung der Schafe Schaf , in der Heraldik ein WappentierSchaf ist der Familienname folgender Personen: Alex Schaf ,. Mit Stall bezeichnet man ein zur Unterbringung von Haustieren dienendes Gebäude. "
CCD,Tiergehege für Wassertiere
CCD,Wasserumschließung
CCD,"Wasser ist insbesondere die chemische Verbindung H2O, bestehend aus den Elementen Sauerstoff und Wasserstoff. "
CCD,Aquarium
CCD,Das Aquarium ist die am weitesten verbreitete Art des Vivariums. 
CCD,Aquakulturanlage
CCD,"Aqua steht für Aqua , Album der englischen Band Asia Aqua , dänische Band Aqua , Wolkenkratzer in Chicago Aqua , grafische Benutzeroberfläche des Betriebssystems. Kult oder Kultus umfasst die Gesamtheit religiöser Handlungen. Uran ist ein chemisches Element mit dem Elementsymbol U und der Ordnungszahl 92. Lage steht für: Lage , Wohn- oder Geschäftsqualität eines Grundstücks oder Bauwerks Lage , Weinberg oder Teilbereich eines Weinbergs Lage , bestimmte Anzahl Blätter in. "
CCD,Fischtank
CCD,"Fisch steht für: Fische, im Wasser lebende Wirbeltiere mit Kiemen Speisefisch, eine Lebensmittelkategorie Fische Fische Fisch , religiöses Symbol Fisch , gemeine Figur in der. Tank steht für: Tank zum Lagern oder Transport flüssiger und gasförmiger Stoffe Kraftstofftank, als Kurzform bei Fahrzeugen Tank , altes indisches Gewicht für Perlen, Gold. "
CCD,Teich
CCD,"Ein Teich ist ein künstlich angelegtes Stillgewässer, meist mit Zu- und Ablauf. "
CCD,Becken
CCD,"Beck steht für: Bäcker Beck , Namensträger siehe dort Beck , badisches Adelsgeschlecht Beck von Leopoldsdorf, österreichisches Adelsgeschlecht Beck , Namensträger siehe dort Beck ,. "
CD,Lagerraum für Pflanzen
CD,Pflanzenraum
CD,"Als Pflanzen werden Lebewesen bezeichnet, die sich nicht fortbewegen können und Photosynthese betreiben. N bzw. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CDA,Pflanzenraum zum Züchten von Pflanzen in Innenräumen
CDA,Innenpflanzenraum
CDA,"Der Inn ist ein 517 km langer, durch die Schweiz, Österreich und Deutschland verlaufender rechter Nebenfluss der Donau. N bzw. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CDA,botanischer Garten
CDA,Treibhaus
CDA,"Treibhaus steht für Gewächshaus, lichtdurchlässiges Bauwerk zur Pflanzenkultivierung Treibhaus , deutsche BandKulturstätten Treibhaus , Kulturzentrum in Innsbruck Treibhaus LuzernSiehe auch: Das Treibhaus. "
CDA,Gewächshaus
CDA,". Als Haus bezeichnet man ein Gebäude in der Regel, wenn dessen vorrangiger Zweck ist, Menschen regelmäßig als Unterkunft zu dienen, insbesondere zum Wohnen, Arbeiten oder. "
CDA,Orangerie
CDA,Eine Orangerie ist ein historischer repräsentativer Garten für Zitruspflanzen. 
CDA,Palmengarten
CDA,"Palmengarten nennt man eine, zumindest in klimatisch kühleren Regionen der Erde entweder unter einem Glasdach oder in einem Gewächshaus befindliche, gärtnerisch gestaltete Anlage, die Palmen. "
CDA,Wintergarten
CDA,"Als Wintergarten bezeichnet man einen Anbau an ein Gebäude oder ein selbständiges Bauwerk, dessen Dach und Seitenwände größtenteils aus Glas bestehen. "
CDA,Glasveranda
CDA,"Glas ist ein Sammelbegriff für eine Gruppe amorpher Feststoffe, die beim Erhitzen im Bereich der Glasübergangstemperatur in den flüssigen Zustand übergehen, während nicht glasartige amorphe. Eine Veranda ist ein halb offener, bedachter, oft auf hölzernen Ständern ruhender Anbau an Land- oder Wohnhäusern oder eine überdachte Terrasse, die die Seiten des. "
CDA,tropischer Garten
CDB,Pflanzenraum zum Züchten von Pflanzen in Außenbereichen
CDB,Außenpflanzenraum
CDB,"N bzw. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CDB,Apfelgarten
CDB,Kräutergarten
CDB,"Kräutergarten ist ein Garten oder Gartenteil, der speziell für Küchenkräuter, Würzkräuter oder Heilkräuter angelegt wurde. "
CDB,Rosengarten
CDB,"Rosengarten steht für: Rosarium , eine Rosensammlung Rosengarten , deutsche Rockband Rosengarten zu Worms, mittelhochdeutsche Heldendichtung Rosengarten, eine persische Gedichtsammlung, siehe Golestan Der Rosengarten, ein. "
CE,Lagerraum für Leichen
CE,Leichenaufbewahrungsraum
CE,". Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
CEA,Leichenaufbewahrungsraum zur Zwischenverwahrung
CEA,Totenkapelle
CEA,"Elle steht für: Elle, deutsch für den Unterarmknochen Ulna Elle, kurz für die Schneiderelle Elle , ein Längenmaß Elle , eine Rosensorte Elle , weiblicher. "
CEA,Kühlkammer
CEA,Leichenkammer
CEA,". Der Kamm ist ein Werkzeug, mit dem Haare in eine Richtung ausgerichtet sowie Schmutz und Ungeziefer beseitigt werden können. "
CEA,Leichenhalle
CEA,. 
CEB,Leichenaufbewahrungsraum zur Dauerverwahrung
CEB,Gruft
CEB,"Als Gruft wird zumeist eine Räumlichkeit bezeichnet, die zur Bestattung von Särgen, Sarkophagen und Urnen von Verstorbenen dient. "
CEB,Columbarium
CEB,Mausoleum
CEB,Maus steht für: generell und vor allem historisch die Bezeichnung für zahlreiche Kleinsäuger speziell ein Nagetier aus der Überfamilie der Mäuseartigen meistens aus der Familie. Oleum bzw. 
DA,"Raum für technische Systeme, die die Funktion von Konstruktionseinheiten unterstützen"
DA,Installationsraum
DA,"Installation steht für: Installation , Kopieren und Einrichten eines Programms auf einen Computer Installation , ortsbezogenes dreidimensionales Kunstwerk Tätigkeitsbereich eines Installateurs Installation , Amtseinführung eines. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Installationsraum für elektrische Betriebsmittel
DAA,Elektroinstallationsraum
DAA,". Installation steht für: Installation , Kopieren und Einrichten eines Programms auf einen Computer Installation , ortsbezogenes dreidimensionales Kunstwerk Tätigkeitsbereich eines Installateurs Installation , Amtseinführung eines. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Akkumulatorraum
DAA,"Ein Akkumulator ist ein wiederaufladbares galvanisches Element, bestehend aus zwei Elektroden und einem Elektrolyten, das elektrische Energie auf elektrochemischer Basis speichert. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Batterieraum
DAA,"Batterie steht für: Batterie , Speicher für elektrische Energie auf elektrochemischer Basis Batterie , eine Zusammenstellung mehrerer Geschütze Batterie , Zusammenstellung mehrerer Figuren entlang einer. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Konverterhalle
DAA,"Konverter leitet sich aus dem lateinischen Verb convertere = umwandeln ab und bezeichnet: in der Stahlindustrie: Ein großer Tiegel, in dem durch Zuführung von Sauerstoff. Hall steht für: Hall , Familienname – dort auch zu Namensträgern Hall , Einschlagkrater auf dem Mond Hall , Krater auf dem Marsmond Phobos Nachhall. "
DAA,Sicherungsraum
DAA,"Sicherung steht für: Technik: Überstromschutzeinrichtung, elektrische Sicherung, eine Schutzschaltung gegen Überlast Schmelzsicherung, eine elektrische Sicherung mit Schmelzleiter Schraubsicherung, eine weitverbreitete Bauform der elektrischen Schmelzsicherung Leitungsschutzschalter,. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Generatorraum
DAA,". Tor steht für: Thor oder Tor , nordischer Vorname Tor , Öffnung in einem Gebäude, einer Mauer oder einem Zaun Tor , Wappenfigur in der. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Hochspannungsraum
DAA,"In der elektrischen Energietechnik wird eine elektrische Spannung als Hochspannung bezeichnet, deren Werte vereinbarungsgemäß 1000 Volt Wechselspannung oder 1500 V Gleichspannung überschreiten. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Messraum
DAA,"Ein Messraum ist Messraum , in der Mathematik ein Raum, der als Basis für die Definition von Maßen fungiert. "
DAA,unterbrechungsfreierraum
DAA,"Unterbrechung steht für: temporäre Unterbrechung eines Vorgangs, siehe Pause Unterbrechung in Form eines Eingriffs, siehe Intervention Unterbrechung als Folge eines Eingriffs, siehe Störung Verfahrensunterbrechung im. . . Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Reaktorhalle
DAA,Schaltraum
DAA,"Als Schaltraum wird ein Raum bezeichnet, in dem elektrotechnische Einrichtungen, Schaltanlagen oder Schutzsysteme untergebracht sind. "
DAA,Schaltanlagenraum
DAA,"Eine Schaltanlage ist eine Anlage, in der elektrische Energie verteilt wird. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAA,Transformatorbereich
DAA,"Ein Transformator ist ein Bauelement der Elektrotechnik. Bereich steht für: Gebiet, ein zusammenhängendes Areal der Erdoberfläche Bereich , ein definiertes Gebiet innerhalb eines Weinanbaugebietes Fachbereich, Wissens- oder Kompetenzbereich, siehe Fachgebiet Definitionsbereich in. "
DAA,Transformatorraum
DAA,"Ein Transformator ist ein Bauelement der Elektrotechnik. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAB,Installationsraum für elektronische Geräte
DAB,Itgeräteraum
DAB,"Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAB,Backupraum
DAB,". Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAB,Computerraum
DAB,"Ein Computer oder Rechner ist ein Gerät, das mittels programmierbarer Rechenvorschriften Daten verarbeitet. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAB,Datenzentrum
DAB,"Date bezeichnet: ein Treffen oder eine Verabredung, siehe Dating und Stelldichein Blind Date, ein verabredetes Treffen unter bisher unbekannten Personen in Programmiersprachen häufig einen Datentyp. Zentrum steht für: Zentrum ist eine Zusammenfassung einzelner Teileinheiten Einkaufszentrum, Konzentration von Einzelhandelsgeschäften und Dienstleistungsbetrieben Medizinisches Behandlungszentrum, siehe Berufsausübungsgemeinschaft Mittelpunkt einer geometrischen Figur Innenstadt, das. "
DAB,Verteilersystemraum
DAB,"Verteiler steht für: Verteiler , Liste der Empfänger von Mitteilungen Verteiler , Schwachstromtechnik Verteiler , wasserführende Armatur der Feuerwehr elektrischer Verteiler, als Kurzform: verschließbarer Kasten. Als System wird im Allgemeinen ein abgrenzbares, natürliches oder künstliches „Gebilde“ bezeichnet, das aus verschiedenen Komponenten mit unterschiedlichen Eigenschaften besteht, die aufgrund bestimmter geordneter Beziehungen. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
DAB,Hauptverteilerraum
DAB,"Haupt steht für: den Kopf ein führendes Mitglied einer Gruppierung, siehe Häuptling oder Oberhaupt Haupt Verlag, Schweizer Verlag mit Sitz in Bern Haupt , eine. Verteiler steht für: Verteiler , Liste der Empfänger von Mitteilungen Verteiler , Schwachstromtechnik Verteiler , wasserführende Armatur der Feuerwehr elektrischer Verteiler, als Kurzform: verschließbarer Kasten. Raum steht für: Zimmer, ein zum Nutzen verwendeter, umschlossener Teil eines Gebäudes Universum, Weltraum, nicht fest eingegrenzte physikalische Ausdehnung Volumen, eine in Länge, Breite, Höhe. "
